City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,cox's bazar,21.4532,91.9798,56.64,57,41,9.01,BD,1706484054
222,sandakan,5.8402,118.1179,80.28,78,40,8.05,MY,1706484054
223,antsiranana,-12.2787,49.2917,77.41,82,55,7.72,MG,1706484054
224,hanzhong,33.0728,107.0303,37.26,77,93,0.76,CN,1706484054
225,bardai,11.65,7.2333,63.82,21,0,10.92,NG,1706484054
226,ust-nera,64.5667,143.2,-40.81,100,81,6.71,RU,1706484054
227,wagar,16.1525,36.2032,67.12,57,76,10.98,SD,1706484055
228,fernie,49.5,-115.0687,51.89,100,100,2.15,CA,1706484055
229,polyarnyy,69.1989,33.4478,30.56,95,100,24.16,RU,1706484044
230,levuka,50.1834,-105.4011,42.53,75,75,14.97,CA,1706484055
231,selkirk,50.1436,-96.8845,32.07,86,53,1.01,CA,1706484055
232,sinop,41.7711,34.8709,31.51,98,100,3.69,TR,1706483977
233,gimbi,9.1667,35.8333,61.83,62,96,1.25,ET,1706484055
234,mizan teferi,6.9833,35.5833,64.08,76,70,2.44,ET,1706484055
235,quellon,-43.1167,-73.6167,59.0,60,4,11.39,CL,1706484055
236,greymouth,-42.4667,171.2,70.3,50,2,4.36,NZ,1706484055
237,nyurba,63.2842,118.3319,-48.96,100,87,3.49,RU,1706484055
238,puerto lopez,4.0845,-72.956,90.36,36,37,4.99,CO,1706484056
239,talakan,50.3167,130.3667,4.46,98,100,1.86,RU,1706484056
240,papao,-17.75,-149.55,89.28,74,66,1.5,PF,1706484056
241,muang phon-hong,18.4928,102.4172,63.99,96,99,1.28,LA,1706484056
242,maturin,9.75,-63.1767,78.67,58,18,10.09,VE,1706484056
243,ancud,-41.8697,-73.8203,60.04,64,2,8.81,CL,1706484056
244,verkhniy baskunchak,48.2256,46.7217,22.03,89,100,11.59,RU,1706484056
245,hammerfest,70.6634,23.6821,36.05,75,40,19.57,NO,1706484056
246,baise city,23.8997,106.6133,49.01,88,100,0.74,CN,1706484057
247,gunnison,38.7,-107.0673,31.91,91,83,1.1,US,1706483770
248,quelimane,-17.8786,36.8883,78.75,78,0,0.0,MZ,1706484057
249,shache,38.4167,77.2406,22.96,50,100,2.84,CN,1706484057
250,susuman,62.7833,148.1667,-40.02,99,72,1.01,RU,1706484057
251,pontianak,-0.0333,109.3333,76.98,100,20,3.44,ID,1706484057
252,ilulissat,69.2167,-51.1,-9.38,59,100,14.97,GL,1706483972
253,ataq,14.5377,46.8319,65.82,85,98,7.11,YE,1706484057
254,banda aceh,5.5577,95.3222,77.97,84,30,7.52,ID,1706484057
255,klyuchi,52.2667,79.1667,-2.13,98,85,5.48,RU,1706484057
